Row,R,exp_variance
Def and InO,0.960243386974782,92.20673622288
Def and SoM,0.953304407916582,90.8789294153184
Def and Vis,0.951912578274709,90.6137556677604
Def and Def,0.949944691653984,90.2394917201583
Def and Lmb,0.949018417515511,90.0635956783645
Def and DoA,0.947348023682976,89.7468277976041
DoA and SoM,0.916807325178646,84.0535671501224
Aud and Lmb,0.914375348672191,83.6082278259391
DoA and Lmb,0.914211779866077,83.5783178445901
InO and SoM,0.904766112391014,81.8601718131149
InO and Lmb,0.889090407628412,79.0481752936856
Lmb and Vis,0.887809522225449,78.820574775418
Aud and Def,0.876381188991045,76.8043988417357
Aud and DoA,0.867082328805864,75.18317649274
SoM and SoM,0.862932820773061,74.4653053167352
Lmb and SoM,0.862398322278914,74.3730866269486
Lmb and Lmb,0.861790727536068,74.2683258067145
SoM and Vis,0.858608772200836,73.7209023700227
InO and Vis,0.850669117803289,72.3637947984227
Aud and SoM,0.849033773979055,72.0858349357117
DoA and InO,0.802565631714924,64.4111593209975
Aud and InO,0.782810226695915,61.279185101971
DoA and DoA,0.748922426655827,56.0884801148052
Aud and Vis,0.730330584551145,53.3382762730818
DoA and Vis,0.698745969671139,48.824593013166
Vis and Vis,0.689732935125222,47.5731521796453
InO and InO,0.686033283686227,47.0641666325307
Aud and Aud,0.319670647380894,10.218932279692
