index,network_names,ROI1,ROI2
1,Vis and Vis,1,2
2,InO and Vis,1,3
3,InO and Vis,2,3
4,InO and Vis,1,4
5,InO and Vis,2,4
6,InO and InO,3,4
7,Aud and Vis,1,5
8,Aud and Vis,2,5
9,Aud and InO,3,5
10,Aud and InO,4,5
11,Aud and Vis,1,6
12,Aud and Vis,2,6
13,Aud and InO,3,6
14,Aud and InO,4,6
15,Aud and Aud,5,6
16,Def and Vis,1,7
17,Def and Vis,2,7
18,Def and InO,3,7
19,Def and InO,4,7
20,Aud and Def,5,7
21,Aud and Def,6,7
22,Def and Vis,1,8
23,Def and Vis,2,8
24,Def and InO,3,8
25,Def and InO,4,8
26,Aud and Def,5,8
27,Aud and Def,6,8
28,Def and Def,7,8
29,Lmb and Vis,1,9
30,Lmb and Vis,2,9
31,InO and Lmb,3,9
32,InO and Lmb,4,9
33,Aud and Lmb,5,9
34,Aud and Lmb,6,9
35,Def and Lmb,7,9
36,Def and Lmb,8,9
37,Lmb and Vis,1,10
38,Lmb and Vis,2,10
39,InO and Lmb,3,10
40,InO and Lmb,4,10
41,Aud and Lmb,5,10
42,Aud and Lmb,6,10
43,Def and Lmb,7,10
44,Def and Lmb,8,10
45,Lmb and Lmb,9,10
46,Def and Vis,1,11
47,Def and Vis,2,11
48,Def and InO,3,11
49,Def and InO,4,11
50,Aud and Def,5,11
51,Aud and Def,6,11
52,Def and Def,7,11
53,Def and Def,8,11
54,Def and Lmb,9,11
55,Def and Lmb,10,11
56,Def and Vis,1,12
57,Def and Vis,2,12
58,Def and InO,3,12
59,Def and InO,4,12
60,Aud and Def,5,12
61,Aud and Def,6,12
62,Def and Def,7,12
63,Def and Def,8,12
64,Def and Lmb,9,12
65,Def and Lmb,10,12
66,Def and Def,11,12
67,SoM and Vis,1,13
68,SoM and Vis,2,13
69,InO and SoM,3,13
70,InO and SoM,4,13
71,Aud and SoM,5,13
72,Aud and SoM,6,13
73,Def and SoM,7,13
74,Def and SoM,8,13
75,Lmb and SoM,9,13
76,Lmb and SoM,10,13
77,Def and SoM,11,13
78,Def and SoM,12,13
79,SoM and Vis,1,14
80,SoM and Vis,2,14
81,InO and SoM,3,14
82,InO and SoM,4,14
83,Aud and SoM,5,14
84,Aud and SoM,6,14
85,Def and SoM,7,14
86,Def and SoM,8,14
87,Lmb and SoM,9,14
88,Lmb and SoM,10,14
89,Def and SoM,11,14
90,Def and SoM,12,14
91,SoM and SoM,13,14
92,DoA and Vis,1,15
93,DoA and Vis,2,15
94,DoA and InO,3,15
95,DoA and InO,4,15
96,Aud and DoA,5,15
97,Aud and DoA,6,15
98,Def and DoA,7,15
99,Def and DoA,8,15
100,DoA and Lmb,9,15
101,DoA and Lmb,10,15
102,Def and DoA,11,15
103,Def and DoA,12,15
104,DoA and SoM,13,15
105,DoA and SoM,14,15
106,DoA and Vis,1,16
107,DoA and Vis,2,16
108,DoA and InO,3,16
109,DoA and InO,4,16
110,Aud and DoA,5,16
111,Aud and DoA,6,16
112,Def and DoA,7,16
113,Def and DoA,8,16
114,DoA and Lmb,9,16
115,DoA and Lmb,10,16
116,Def and DoA,11,16
117,Def and DoA,12,16
118,DoA and SoM,13,16
119,DoA and SoM,14,16
120,DoA and DoA,15,16
121,SoM and Vis,1,17
122,SoM and Vis,2,17
123,InO and SoM,3,17
124,InO and SoM,4,17
125,Aud and SoM,5,17
126,Aud and SoM,6,17
127,Def and SoM,7,17
128,Def and SoM,8,17
129,Lmb and SoM,9,17
130,Lmb and SoM,10,17
131,Def and SoM,11,17
132,Def and SoM,12,17
133,SoM and SoM,13,17
