Row,R,exp_variance
Top feature,0.817199360474837,66.7814794760482
top 00.1% features,0.883888461089211,78.1258811646654
top 00.2% features,0.916043242319753,83.9135221799685
top 00.5% features,0.914496846374344,83.630448202862
top 01.0% features,0.949252492305165,90.1080294147567
top 02.0% features,0.936292519338468,87.6643681769175
top 05.0% features,0.961501746897254,92.4485609286471
top 10.0% features,0.974293154215448,94.9247150351086
top 25.0% features,0.990100755342806,98.0299505730394
top 50.0% features,0.988416799755283,97.6967770038475
top 100.0% features,0.985605445071196,97.141809335399
