index,network_names,ROI1
1,Vi1,1
2,Vi2,2
3,Vi2,3
4,Vi2,4
5,Vi2,5
6,Vi2,6
7,Vi2,7
8,Smn,8
9,Smn,9
10,CiO,10
11,DAn,11
12,Lan,12
13,Vi2,13
14,FPn,14
15,FPn,15
16,Vi2,16
17,Vi2,17
18,Vi2,18
19,Vi2,19
20,Vi2,20
21,Vi2,21
22,Vi2,22
23,Vi2,23
24,Aud,24
25,Lan,25
26,Lan,26
27,PMm,27
28,Lan,28
29,FPn,29
30,Def,30
31,Def,31
32,Def,32
33,Def,33
34,Def,34
35,Def,35
36,Smn,36
37,CiO,37
38,CiO,38
39,Smn,39
40,Smn,40
41,Smn,41
42,Smn,42
43,CiO,43
44,CiO,44
45,CiO,45
46,DAn,46
47,Smn,47
48,Vi2,48
49,Vi2,49
50,DAn,50
51,Smn,51
52,Smn,52
53,Smn,53
54,Smn,54
55,Smn,55
56,Smn,56
57,CiO,57
58,CiO,58
59,CiO,59
60,CiO,60
61,Def,61
62,Def,62
63,FPn,63
64,Def,64
65,Def,65
66,Def,66
67,Def,67
68,Def,68
69,Def,69
70,Def,70
71,Def,71
72,Def,72
73,FPn,73
74,Lan,74
75,Lan,75
76,Def,76
77,FPn,77
78,CiO,78
79,Lan,79
80,FPn,80
81,Lan,81
82,FPn,82
83,FPn,83
84,CiO,84
85,FPn,85
86,CiO,86
87,Def,87
88,Def,88
89,FPn,89
90,Def,90
91,FPn,91
92,FPn,92
93,Def,93
94,Def,94
95,DAn,95
96,DAn,96
97,FPn,97
98,FPn,98
99,CiO,99
100,Smn,100
101,Smn,101
102,Smn,102
103,Aud,103
104,Aud,104
105,CiO,105
106,CiO,106
107,Aud,107
108,CiO,108
109,CiO,109
110,OrA,110
111,FPn,111
112,OrA,112
113,CiO,113
114,CiO,114
115,Smn,115
116,DAn,116
117,DAn,117
118,Def,118
119,Def,119
120,Def,120
121,Vi1,121
122,VMm,122
123,Lan,123
124,Aud,124
125,Lan,125
126,Def,126
127,DAn,127
128,Lan,128
129,Lan,129
130,Def,130
131,Def,131
132,Def,132
133,FPn,133
134,Def,134
135,VMm,135
136,DAn,136
137,DAn,137
138,Vi2,138
139,Lan,139
140,PMm,140
141,PMm,141
142,Vi1,142
143,DAn,143
144,FPn,144
145,FPn,145
146,DAn,146
147,CiO,147
148,CiO,148
149,FPn,149
150,Def,150
151,Def,151
152,Vi2,152
153,Vi2,153
154,Vi2,154
155,Def,155
156,Vi2,156
157,Vi2,157
158,Vi2,158
159,Vi2,159
160,Vi2,160
161,Def,161
162,Def,162
163,Vi2,163
164,Def,164
165,Def,165
166,OrA,166
167,CiO,167
168,Smn,168
169,CiO,169
170,FPn,170
171,FPn,171
172,Lan,172
173,Aud,173
174,Aud,174
175,Aud,175
176,Def,176
177,Def,177
178,CiO,178
179,CiO,179
180,CiO,180
181,Vi1,181
182,Vi2,182
183,Vi2,183
184,Vi2,184
185,Vi2,185
186,Vi2,186
187,Vi2,187
188,Smn,188
189,Smn,189
190,CiO,190
191,CiO,191
192,Lan,192
193,Vi2,193
194,FPn,194
195,FPn,195
196,Vi2,196
197,Vi2,197
198,Vi2,198
199,Vi2,199
200,Vi2,200
201,Vi2,201
202,Vi2,202
203,Vi2,203
204,Aud,204
205,CiO,205
206,Lan,206
207,PMm,207
208,PMm,208
209,FPn,209
210,Def,210
211,Def,211
212,Def,212
213,Def,213
214,Def,214
215,Def,215
216,Smn,216
217,CiO,217
218,CiO,218
219,Smn,219
220,Smn,220
221,Smn,221
222,Smn,222
223,CiO,223
224,CiO,224
225,CiO,225
226,DAn,226
227,Smn,227
228,Vi2,228
229,Vi2,229
230,DAn,230
231,Smn,231
232,Smn,232
233,Smn,233
234,Smn,234
235,Smn,235
236,Smn,236
237,CiO,237
238,FPn,238
239,CiO,239
240,CiO,240
241,Def,241
242,FPn,242
243,FPn,243
244,Def,244
245,Def,245
246,Def,246
247,Def,247
248,Def,248
249,Def,249
250,Def,250
251,Def,251
252,Def,252
253,FPn,253
254,FPn,254
255,Lan,255
256,Def,256
257,FPn,257
258,CiO,258
259,Lan,259
260,FPn,260
261,FPn,261
262,CiO,262
263,FPn,263
264,CiO,264
265,FPn,265
266,CiO,266
267,Def,267
268,Def,268
269,FPn,269
270,Def,270
271,FPn,271
272,FPn,272
273,FPn,273
274,Def,274
275,DAn,275
276,DAn,276
277,FPn,277
278,FPn,278
279,CiO,279
280,Smn,280
281,Smn,281
282,Smn,282
283,Aud,283
284,Smn,284
285,CiO,285
286,CiO,286
287,Aud,287
288,CiO,288
289,CiO,289
290,OrA,290
291,FPn,291
292,OrA,292
293,CiO,293
294,CiO,294
295,Smn,295
296,DAn,296
297,DAn,297
298,Def,298
299,Def,299
300,Def,300
301,Vi1,301
302,VMm,302
303,Lan,303
304,Aud,304
305,Lan,305
306,Def,306
307,DAn,307
308,Def,308
309,Lan,309
310,Def,310
311,Def,311
312,Def,312
313,FPn,313
314,Def,314
315,VMm,315
316,DAn,316
317,DAn,317
318,Vi2,318
319,Lan,319
320,PMm,320
321,PMm,321
