id,Aud,CiO,DAn,Def,FPn,Lan,OrA,PMm,Smn,VMm,Vi1,Vi2
fake_ID_02,-15.5473850493885,-11.4932938269565,-3.04635175969502,-9.36272573921532,-6.85384424829479,-25.3083239894404,-10.0669864986924,-3.04553585538247,-2.79535985709289,-29.3783164107737,-3.30926505764729,-5.42546056358321
fake_ID_04,-14.815078880174,-12.0362653808891,-4.14373292028079,-9.67855939254286,-7.4729693196894,-27.4048425685211,-10.8409491274357,-3.44797962054644,-3.56603848392111,-31.0234812535202,-4.23103273762927,-5.97143306135282
fake_ID_05,-17.5589456741244,-12.4644724409356,-3.55918856520519,-9.97572978963994,-7.33318145577793,-27.8111984485182,-10.7278699617577,-2.78993808139382,-3.69623161961779,-32.1050355239188,-2.43016637701952,-5.76941419876028
fake_ID_15,-17.3492414860895,-12.4089468870441,-3.61899465104391,-10.4771985853244,-7.68716009857017,-28.921422036625,-10.6732458859383,-3.68026954130231,-3.42249525776265,-31.2596351644783,-3.00812519459399,-5.95732525348526
fake_ID_22,-16.9474064412188,-11.5306914920236,-3.33031484980034,-9.54066229369253,-6.95837424513774,-27.5309024028809,-10.6216508885953,-3.2443388160894,-3.16013663851603,-28.792431616988,-3.40412195433937,-5.89172935556822
fake_ID_23,-17.4305019714211,-12.7070099528787,-4.17672305468699,-10.2102011736181,-7.65600506329725,-27.6391790898863,-11.4252680398792,-3.70747390251525,-3.59483368238257,-30.486151232079,-2.80647354909426,-6.22001666142704
fake_ID_37,-15.3788864581101,-12.5465307652696,-3.03795409673199,-9.26688070174725,-6.30676289019118,-25.8072776197048,-10.798716371453,-2.45481886361843,-3.81072151025951,-30.1107738368709,-1.92946806350563,-5.49350264301834
fake_ID_46,-16.3728420642108,-12.5962777125639,-3.37843486043991,-10.1953677674511,-7.68011657231965,-29.2792201223363,-11.154544101379,-3.04748027244359,-3.311329036933,-31.3841926922455,-2.63354646846583,-5.29819936813071
fake_ID_47,-16.8278777711726,-12.1912731663749,-3.88653687269955,-10.1390865009166,-7.77984069239935,-27.6946141751688,-10.8455383477152,-3.05927203270699,-3.57083579239395,-30.0955984727395,-4.62742892256355,-5.93546419677717
fake_ID_48,-15.3349207257383,-11.9781640307151,-3.10726022064479,-9.20223012532262,-6.8363789694487,-25.0427392143957,-10.509707007069,-2.33338006931254,-3.35163525777844,-27.466015702081,-2.51307095630651,-5.29288300099819
fake_ID_50,-16.0821723745269,-12.6685125564697,-4.52802117737524,-10.7833276995733,-7.79385786395173,-28.3600687245461,-11.7203715943837,-4.13260654221775,-4.69887480105118,-31.0625858694168,-3.26745251389181,-6.87248676347744
fake_ID_51,-15.573643424185,-11.9489148974081,-3.78194363593962,-9.45837624445062,-7.28451340917245,-26.5965148260366,-10.9886079276517,-2.13234103264379,-3.02816745266514,-30.5617098871991,-1.92428043320001,-5.35842004884767
fake_ID_09,-16.1483926266618,-11.3856969520313,-3.07466124728371,-8.76206491117109,-6.8781345640443,-26.5386077178728,-9.27015120921557,-2.20916760501658,-2.64900810419033,-27.939345561402,-1.52214565493036,-5.52195224156512
fake_ID_10,-16.6920372370456,-11.8777052770917,-3.18573966608909,-9.74855157625129,-7.06470646386735,-27.6082411191044,-10.39572894575,-3.90560357104208,-2.90875960463379,-30.0628990767714,-5.07188578229543,-5.59631203204311
fake_ID_14,-18.0070569484678,-12.5020324657984,-3.802075137826,-10.4412178992518,-7.56400227699641,-29.7156887952458,-11.1069306268108,-2.91153062325478,-4.05175645143585,-31.5964758958113,-3.34596024092963,-5.3946254569373
fake_ID_16,-15.0118977380474,-11.2210758937073,-3.27367658445036,-9.38215724041747,-7.02800487321869,-26.125655858761,-10.201460066034,-1.92565916706883,-2.26379538866331,-28.1714528970451,-2.51882831768913,-5.47757237465892
fake_ID_21,-16.4307999823834,-12.4246899640394,-4.03860074256997,-10.7916799979052,-8.15291237920665,-28.7087599270261,-10.961262402146,-2.97657406017147,-3.80877861025983,-29.720370830674,-3.8617961446845,-6.26377100252946
fake_ID_25,-15.8244143185746,-12.3494527278859,-3.87709940464826,-9.96792893306074,-7.91602870642152,-27.563490698184,-11.6009151652677,-3.06455678134031,-3.22084991234793,-31.6198944697288,-3.60683739621327,-6.01033105514017
fake_ID_30,-13.7929958226907,-11.5965741821122,-3.57723978800664,-9.5006755660343,-7.10385119353357,-25.6285759180186,-11.6685648623128,-2.85189476055682,-3.30087248074772,-27.6397419119402,-2.7194382350013,-4.93815881271849
fake_ID_31,-14.0739596864461,-11.0590084956047,-3.46644970853256,-9.26074907367715,-6.6574797882496,-25.4833002530085,-9.93488628281856,-3.68028957123309,-2.929429825647,-28.2286231300696,-3.20703460504293,-6.03407195375459
fake_ID_33,-16.8584420985653,-12.560166487033,-4.31916324687297,-9.66549437262478,-7.54745899046211,-27.2436345134642,-11.3201726966364,-3.92188747272313,-3.78251888265295,-30.3354421469473,-2.94661924672832,-5.65745834652497
fake_ID_38,-18.2592416106012,-13.011330229753,-3.88276302630104,-10.2937214313651,-8.04350559625853,-29.258678646091,-10.5579761310578,-3.42895926805971,-4.67749722135559,-31.7423586188407,-3.60911767680153,-6.13759875555235
fake_ID_40,-16.5678292525389,-12.0116288516341,-4.02003710558377,-9.56159150213787,-7.39711350345459,-27.7044451666929,-10.6641610120852,-3.40020289703513,-3.98201013998205,-30.195899642238,-4.1155915095007,-5.78657519668374
fake_ID_42,-17.1104485417266,-11.4567803851709,-3.33710884097861,-8.54533036838851,-6.58081750484867,-26.8192885438931,-10.8542945410441,-3.68452817346469,-3.04665851905794,-28.1557351156089,-4.19057798115415,-6.04101087355597
fake_ID_44,-17.0717954778741,-12.5729175353291,-3.54853747801543,-9.28929382204265,-6.81912185628455,-27.6015236154899,-10.3432756414281,-2.9020295233056,-3.37347845033304,-30.2026628503282,-2.9970792120584,-5.7429179852985
fake_ID_01,-14.233157054052,-11.1898944856394,-3.1069560866016,-8.80379246225268,-6.39156977051095,-25.371702439061,-10.9134323756756,-3.07980954550663,-2.90828382863103,-28.4250535007813,-3.68405509937588,-5.02799308943814
fake_ID_03,-13.7258985222926,-10.4187692225249,-2.74999392048534,-8.02851396161966,-6.11883524012807,-23.1591011094062,-11.3144893693296,-1.47380631198804,-1.60531649323402,-25.0139036779102,-1.24813518166965,-4.92809260638496
