Row,R,exp_variance
PMm,0.00462101806203914,0.0021353807929692
DAn,-0.0266323375962908,0.0709281405842807
Smn,-0.0421788658073705,0.177905672079617
FPn,-0.0854166187259542,0.729599875457503
Vi2,-0.103222445542818,1.06548732638399
Vi1,-0.117273045511292,1.37529672034935
Def,-0.124381400968566,1.54707329069031
OrA,-0.131717355597679,1.73494617656453
CiO,-0.147677634643706,2.180868377396
Aud,-0.1797044224189,3.22936794369104
VMm,-0.267652287039237,7.16377467573342
Lan,-0.326801530452586,10.6799240306152
