Row,R,exp_variance,Rcum,Vcum,brain_features,percent_brain_features
OrA,0.174497812839216,3.04494866856701,0.174497812839216,3.04494866856701,6,1.66666666666667
Aud,0.276272750694263,7.63266327761745,0.290233942944314,8.42357416370031,21,5.83333333333333
Vi1,0.370596081564183,13.7341455670726,0.336026164602739,11.2913583297627,27,7.5
VMm,0.392644142919249,15.4169422968792,0.369640437187657,13.6634052804282,31,8.61111111111111
Lan,0.464629696268252,21.5880754654328,0.433679061060198,18.8077528002055,54,15
CiO,0.485133119453329,23.5354143590518,0.472664875435895,22.341208447083,110,30.5555555555556
Def,0.491651669969313,24.1721364583615,0.498198607405485,24.8201852420764,187,51.9444444444444
PMm,0.516907575025122,26.7193441118352,0.510625300312656,26.073819731939,194,53.8888888888889
FPn,0.534577419076069,28.5773016986031,0.524274524289129,27.4863776818593,244,67.7777777777778
Smn,0.612029571640574,37.4580196562545,0.547734341932689,30.0012909332436,283,78.6111111111111
Vi2,0.635791528123794,40.4230867233989,0.579164057544768,33.5431005551719,337,93.6111111111111
DAn,0.640013518216768,40.9617303500205,0.588867004216067,34.6764348654406,360,100
