id,DAn,Vi2,Smn,FPn,PMm,Def,CiO,Lan,VMm,Vi1,Aud,OrA
fake_ID_02,-3.04635175969502,-4.71481767411011,-4.06948271838881,-4.90814582980627,-4.8327801082978,-6.2280033626204,-7.19158593125707,-8.45810561313614,-8.70939943653119,-8.61382183690492,-8.90761688828134,-8.92693971512153
fake_ID_04,-4.14373292028079,-5.42549665557805,-4.80033399441753,-5.60534463455966,-5.51805240855912,-6.79948855962612,-7.75785294521672,-9.13135070003739,-9.39431923521436,-9.30293363348719,-9.53649911004172,-9.55823994366495
fake_ID_05,-3.55918856520519,-5.10921693159447,-4.63416152498163,-5.44711933546244,-5.33960333096255,-6.76753028023519,-7.81010793055945,-9.20836045917055,-9.48339559508344,-9.35855967971948,-9.70603366253324,-9.72306426752032
fake_ID_15,-3.61899465104391,-5.25886286574304,-4.64146341133584,-5.55884193158714,-5.48283033198024,-7.02109575401024,-8.00710772606872,-9.46920264747538,-9.73094958461655,-9.61196154231527,-9.93981238739045,-9.95203627903291
fake_ID_22,-3.33031484980034,-5.12663151618301,-4.46548237627773,-5.21635342111508,-5.13656092264584,-6.49302414492822,-7.41495019537704,-8.821232568546,-9.06112685141017,-8.96100287093104,-9.29940980187544,-9.32144715332077
fake_ID_23,-4.17672305468699,-5.60968220746573,-4.9322762378257,-5.75267648646171,-5.66992262468353,-7.06832841775536,-8.10024399281061,-9.4661877837916,-9.71867983722448,-9.59633990292129,-9.92829592277298,-9.95324545805808
fake_ID_37,-3.03795409673199,-4.76002710321852,-4.44086401593058,-5.00288174914161,-4.89978093874472,-6.24484766574949,-7.3980968604329,-8.68506086488048,-8.94242678646595,-8.81830362322772,-9.09629442131595,-9.12466812048491
fake_ID_46,-3.37843486043991,-4.72476321648281,-4.24955689749624,-5.28285800437076,-5.19240919440839,-6.73332043490554,-7.80627993669922,-9.30742773083191,-9.57261409673478,-9.44979874048223,-9.74314803386056,-9.76667130165253
fake_ID_47,-3.88653687269955,-5.32344694413061,-4.73420698794328,-5.65156653747824,-5.54667600838346,-6.96113844008365,-7.91828727888205,-9.30082684913918,-9.55061389566892,-9.46347787844581,-9.77552872135796,-9.79336221513059
fake_ID_48,-3.10726022064479,-4.64003463803548,-4.2068658808801,-4.9988878955092,-4.89103497768621,-6.21888308315823,-7.27286913892026,-8.51513969130912,-8.74277784158866,-8.63251754273411,-8.91651767760717,-8.9430708330982
fake_ID_50,-4.52802117737524,-6.17219184814821,-5.67685249610697,-6.31450471533732,-6.22621981815907,-7.62980904563465,-8.55192472082015,-9.93668858734203,-10.1904531192588,-10.0679221350931,-10.3227632469335,-10.346056719391
